Unnamed: 0,# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
186,316702,236.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
187,316715,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
188,316716,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
189,316716,23.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
190,316717,1.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
191,316717,119.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
192,316718,1.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
193,316718,265.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
194,316719,1.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
195,316720,1.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
196,316720,106.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
197,316721,1.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
198,316722,1.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
199,316722,378.0,8.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
200,316723,1.0,8.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
201,316758,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
202,316758,267.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
